uniprot_id,species
H3A3G9,Latimeria chalumnae
H3A3K3,Latimeria chalumnae
H3A489,Latimeria chalumnae
H3A4A7,Latimeria chalumnae
H3A4R9,Latimeria chalumnae
H3A6R0,Latimeria chalumnae
H3A864,Latimeria chalumnae
H3A8S9,Latimeria chalumnae
H3A9Q9,Latimeria chalumnae
H3A9R2,Latimeria chalumnae
H3ACJ6,Latimeria chalumnae
H3ACS7,Latimeria chalumnae
H3AED1,Latimeria chalumnae
H3AG21,Latimeria chalumnae
H3AHC2,Latimeria chalumnae
H3AHI9,Latimeria chalumnae
H3AIX9,Latimeria chalumnae
H3AJZ7,Latimeria chalumnae
H3ALJ9,Latimeria chalumnae
H3AM18,Latimeria chalumnae
H3AMN3,Latimeria chalumnae
H3AMX4,Latimeria chalumnae
H3ARF6,Latimeria chalumnae
H3ARZ5,Latimeria chalumnae
H3AT03,Latimeria chalumnae
H3ATZ1,Latimeria chalumnae
H3AUE5,Latimeria chalumnae
H3AVP3,Latimeria chalumnae
H3AW81,Latimeria chalumnae
H3AWA7,Latimeria chalumnae
H3AWR0,Latimeria chalumnae
H3AWU1,Latimeria chalumnae
H3AWU5,Latimeria chalumnae
H3AWX1,Latimeria chalumnae
H3AZC9,Latimeria chalumnae
H3AZK4,Latimeria chalumnae
H3AZL1,Latimeria chalumnae
H3AZS3,Latimeria chalumnae
H3B0H1,Latimeria chalumnae
H3B0Q5,Latimeria chalumnae
H3B2E4,Latimeria chalumnae
H3B599,Latimeria chalumnae
H3B722,Latimeria chalumnae
H3B810,Latimeria chalumnae
H3B8A2,Latimeria chalumnae
H3B8B8,Latimeria chalumnae
H3B8F3,Latimeria chalumnae
H3B8Y6,Latimeria chalumnae
H3BAR5,Latimeria chalumnae
H3BAR8,Latimeria chalumnae
H3BB02,Latimeria chalumnae
H3BBZ1,Latimeria chalumnae
H3BDR4,Latimeria chalumnae
H3BEY7,Latimeria chalumnae
H3BG04,Latimeria chalumnae
H3BHN4,Latimeria chalumnae
H7C152,Homo sapiens
H7C5C7,Homo sapiens
H9EZQ5,Macaca mulatta
H9F0L0,Macaca mulatta
H9F590,Macaca mulatta
H9FFH2,Macaca mulatta
H9FFS1,Macaca mulatta
H9G3B5,Anolis carolinensis
H9G3H0,Anolis carolinensis
H9G3R5,Anolis carolinensis
H9G5C1,Anolis carolinensis
H9GEB3,Anolis carolinensis
H9GP67,Anolis carolinensis
H9GZZ4,Equus caballus
I3J7Z0,Oreochromis niloticus
I3J8S9,Oreochromis niloticus
I3JC03,Oreochromis niloticus
I3JFU7,Oreochromis niloticus
I3JFY8,Oreochromis niloticus
I3JLF8,Oreochromis niloticus
I3JXL2,Oreochromis niloticus
I3JYB1,Oreochromis niloticus
I3MI20,Ictidomys tridecemlineatus
I3N603,Ictidomys tridecemlineatus
I7GLG7,Macaca fascicularis
K7EKH9,Homo sapiens
K9K9H9,Equus caballus
K9K9X9,Equus caballus
K9KAQ8,Equus caballus
K9KBF0,Equus caballus
K9KFE5,Equus caballus
K9N4F1,Anas platyrhynchos
L5JRV8,Pteropus alecto
L5JUU8,Pteropus alecto
L5JW50,Pteropus alecto
L5JZT0,Pteropus alecto
L5K0K6,Pteropus alecto
L5KAT2,Pteropus alecto
L5KFL5,Pteropus alecto
L5KGT4,Pteropus alecto
L5KJ27,Pteropus alecto
L5KLH8,Pteropus alecto
L5KWE8,Pteropus alecto
L5KZK1,Pteropus alecto
L5L8I8,Pteropus alecto
L5LD30,Myotis davidii
L5LDX6,Myotis davidii
L5LK21,Myotis davidii
